gene_name,insertion_index_score,Log_likelihood_ratio,essential,non-essential,unclear
nhoA,0.115839243,6.851870499,FALSE,TRUE,FALSE
yddE,0.108501119,5.984051915,FALSE,TRUE,FALSE
narV,0.130690162,8.52999209,FALSE,TRUE,FALSE
narW,0.102011494,5.191447015,FALSE,TRUE,FALSE
narY,0.108737864,6.012501177,FALSE,TRUE,FALSE
narZ,0.120823309,7.425927204,FALSE,TRUE,FALSE
narU,0.137508999,9.270568797,FALSE,TRUE,FALSE
yddK,0.045795796,-3.438209729,FALSE,FALSE,TRUE
yddL,0.039426523,-4.80631315,TRUE,FALSE,FALSE
yddG,0.329931973,26.46454124,FALSE,TRUE,FALSE
fdnG,0.119094488,7.228128304,FALSE,TRUE,FALSE
fdnH,0.096045198,4.439175435,FALSE,TRUE,FALSE
fdnI,0.088685015,3.475555125,FALSE,FALSE,TRUE
yddM,0.066666667,0.282758844,FALSE,FALSE,TRUE
adhP,0.122650841,7.633548005,FALSE,TRUE,FALSE
maeA,0.130742049,8.535693105,FALSE,TRUE,FALSE
sra,0.123188406,7.694337744,FALSE,TRUE,FALSE
bdm,0.375,29.98262589,FALSE,TRUE,FALSE
osmC,0.173611111,12.95241069,FALSE,TRUE,FALSE
ddpF,0.132686084,8.748547753,FALSE,TRUE,FALSE
ddpD,0.127659574,8.195173305,FALSE,TRUE,FALSE
ddpC,0.117056856,6.993204559,FALSE,TRUE,FALSE
ddpB,0.124144673,7.802165135,FALSE,TRUE,FALSE
ddpA,0.087685364,3.341321105,FALSE,FALSE,TRUE
ddpX,0.147766323,10.35439998,FALSE,TRUE,FALSE
dosP,0.1075,5.863399263,FALSE,TRUE,FALSE
dosC,0.232827187,18.40339415,FALSE,TRUE,FALSE
yddW,0.176515152,13.23426304,FALSE,TRUE,FALSE
gadC,0.1796875,13.54011153,FALSE,TRUE,FALSE
gadB,0.266952177,21.33067267,FALSE,TRUE,FALSE
pqqL,0.220672389,17.32832386,FALSE,TRUE,FALSE
yddB,0.246944796,19.6295324,FALSE,TRUE,FALSE
yddA,0.293594306,23.5389841,FALSE,TRUE,FALSE
ydeM,0.179620035,13.5336289,FALSE,TRUE,FALSE
ydeN,0.276886512,22.16116269,FALSE,TRUE,FALSE
